NOMBREDD|P01|P06|P11|P14|P13|P101|P103|P104|P105|P106|P106_1|P107|P108|P109_1|P109_2|P109_3|P210|OBS|reg_nat|Area|FACTOR_POB|Metrop
TUMBES|24|8|1|1|1|1|1|1|1|51||1|1|3|5||0||1|1|5.79641579854103|
TUMBES|24|8|1|1|1|2|2|1|2|56||1|1|3|5||1||1|1|5.79641579854103|
TUMBES|24|8|1|1|1|3|3|1|2|16||1|6|4||1|1||1|1|5.79641579854103|
TUMBES|24|8|1|1|1|4|3|1|1|13||1|6|3|6||1||1|1|5.79641579854103|
TUMBES|24|8|2|1|1|1|1|1|1|43||1|1|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|2|1|1|2|2|1|2|43||1|1|3|4||0||1|1|5.79641579854103|
TUMBES|24|8|2|1|1|3|3|1|1|19||3|6|3|3||0||1|1|5.79641579854103|
TUMBES|24|8|2|1|1|4|3|1|2|3||1||1|||0||1|1|5.79641579854103|
TUMBES|24|8|3|1|1|1|1|1|2|38||1|5|4||1|0||1|1|5.79641579854103|
TUMBES|24|8|3|1|1|2|3|1|2|22||1|6|7||4|0||1|1|5.79641579854103|
TUMBES|24|8|3|1|1|3|3|1|2|17||1|6|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|3|1|1|4|3|1|1|12||1|6|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|4|1|1|1|1|1|1|44||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|4|1|1|2|2|1|2|42||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|4|1|1|3|3|1|1|21||1|6|7||3|0||1|1|5.79641579854103|
TUMBES|24|8|4|1|1|4|3|1|1|11||1||3|4||0||1|1|5.79641579854103|
TUMBES|24|8|6|1|1|1|1|1|1|47||1|2|4||1|0||1|1|5.79641579854103|
TUMBES|24|8|6|1|1|2|2|1|2|39||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|6|1|1|3|3|1|2|19||1|6|5|4||1||1|1|5.79641579854103|
TUMBES|24|8|6|1|1|4|3|1|1|17||1|6|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|6|1|1|5|3|1|2|1||1|||||0||1|1|5.79641579854103|
TUMBES|24|8|7|1|1|1|1|1|1|49||1|5|6||5|0||1|1|5.79641579854103|
TUMBES|24|8|10|1|1|1|1|1|2|52||2|5|3|5||1||1|1|5.79641579854103|
TUMBES|24|8|10|1|1|2|3|1|1|13||1|6|4||1|0||1|1|5.79641579854103|
TUMBES|24|8|10|1|1|3|3|1|1|28||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|10|1|1|4|4|1|2|28||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|10|1|1|5|5|1|1|1||1|||||0||1|1|5.79641579854103|
TUMBES|24|8|11|1|1|1|1|1|1|57||1|1|3|3||0||1|1|5.79641579854103|
TUMBES|24|8|11|1|1|2|2|1|2|54||1|1|4||5|1||1|1|5.79641579854103|
TUMBES|24|8|11|1|1|3|3|1|1|15||1|6|4||1|0||1|1|5.79641579854103|
TUMBES|24|8|11|1|1|4|4|1|2|21||1|5|4||2|0||1|1|5.79641579854103|
TUMBES|24|8|19|1|1|1|1|1|1|46||1|2|4||5|1||1|1|5.79641579854103|
TUMBES|24|8|19|1|1|2|2|1|2|43||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|19|1|1|3|3|1|1|20||1|6|6||3|0||1|1|5.79641579854103|
TUMBES|24|8|21|1|1|1|1|1|1|45||1|2|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|21|1|1|2|2|1|2|36||1|2|4||2|0||1|1|5.79641579854103|
TUMBES|24|8|21|1|1|3|3|1|1|16||1|6|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|21|1|1|4|3|1|1|16||1|6|5|4||1||1|1|5.79641579854103|
TUMBES|24|8|21|1|1|5|3|1|2|12||1|6|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|22|1|1|1|1|1|1|33||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|22|1|1|2|2|1|2|32||1|2|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|22|1|1|3|3|1|2|10||1||3|4||0||1|1|5.79641579854103|
TUMBES|24|8|22|1|1|4|3|1|1|2||1|||||0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|1|1|1|1|39||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|2|2|1|2|38||1|2|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|3|3|1|1|16||1|6|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|4|3|1|2|12||1|6|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|5|3|1|2|6||1||2||3|0||1|1|5.79641579854103|
TUMBES|24|8|23|1|1|6|3|1|1|3||1||1|||0||1|1|5.79641579854103|
TUMBES|24|8|24|1|1|1|1|1|1|45||1|2|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|24|1|1|2|2|1|2|45||1|2|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|24|1|1|3|3|1|1|21||1|6|6||3|0||1|1|5.79641579854103|
TUMBES|24|8|24|1|1|4|3|1|1|10||1||3|3||0||1|1|5.79641579854103|
TUMBES|24|8|25|1|1|1|1|1|2|53||1|3|3|5||1||1|1|5.79641579854103|
TUMBES|24|8|26|1|1|1|1|1|1|30||1|6|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|27|1|1|1|1|1|1|36||1|2|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|27|1|1|2|2|1|2|38||1|2|3|2||0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|1|1|1|1|33||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|2|2|1|2|34||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|3|3|1|1|17||1|6|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|4|3|1|2|11||1||3|4||0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|5|3|1|1|6||1||2||3|0||1|1|5.79641579854103|
TUMBES|24|8|29|1|1|6|3|1|2|3||1||1|||0||1|1|5.79641579854103|
TUMBES|24|8|30|1|1|1|1|1|1|48||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|30|1|1|2|2|1|2|45||1|2|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|31|1|1|1|1|1|1|34||1|1|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|31|1|1|2|2|1|2|29||1|1|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|31|1|1|3|3|1|1|8||1||3|2||0||1|1|5.79641579854103|
TUMBES|24|8|31|1|1|4|3|1|1|3||1||1|||0||1|1|5.79641579854103|
TUMBES|24|8|31|1|1|5|7|1|1|27||1|6|4||3|0||1|1|5.79641579854103|
TUMBES|24|8|32|1|1|1|1|1|2|46||1|5|4||5|1||1|1|5.79641579854103|
TUMBES|24|8|32|1|1|2|3|1|2|14||1|6|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|37|1|1|1|1|1|1|32||1|1|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|37|1|1|2|2|1|2|28||1|1|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|37|1|1|3|3|1|1|7||1||3|2||0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|1|1|1|1|50||1|2|3|2||0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|2|2|1|2|48||1|2|3|4||0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|3|3|1|2|20||1|6|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|4|3|1|2|18||1|6|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|5|3|1|2|16||1|6|4||4|0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|6|3|1|2|12||1|6|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|38|1|1|7|3|1|1|8||1||3|2||0||1|1|5.79641579854103|
TUMBES|24|8|39|1|1|1|1|1|1|32||1|5|6||3|0||1|1|5.79641579854103|
TUMBES|24|8|39|1|1|2|7|1|1|31||1|6|4||5|0||1|1|5.79641579854103|
TUMBES|24|8|43|1|1|1|1|1|1|45||1|2|3|6||1||1|1|5.79641579854103|
TUMBES|24|8|43|1|1|2|2|1|2|33||1|2|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|43|1|1|3|3|1|2|12||1|6|3|6||0||1|1|5.79641579854103|
TUMBES|24|8|43|1|1|4|3|1|2|7||1||2||3|0||1|1|5.79641579854103|
TUMBES|24|8|43|1|1|5|3|1|2|0|3|1|||||0||1|1|5.79641579854103|
TUMBES|24|8|48|1|1|1|1|1|1|48||1|2|4||1|1||1|1|5.79641579854103|
TUMBES|24|8|48|1|1|2|2|1|2|44||1|2|4||5|0||1|1|5.79641579854103|
